Time (s): 0
600	N: 1. 
20	P: 1. 
Time (s): 1
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 2
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 3
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 4
600	N: 1. 
20	P: 1. 
Time (s): 5
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 6
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 7
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 8
1	P: 2. N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
598	N: 1. 
Time (s): 9
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 10
1	P: 2. 
1	P: 1. N: 1. 
17	P: 1. 
599	N: 1. 
Time (s): 11
1	P: 2. 
18	P: 1. 
600	N: 1. 
Time (s): 12
2	P: 2. 
1	P: 1. N: 1. 
15	P: 1. 
599	N: 1. 
Time (s): 13
2	P: 2. 
4	P: 1. N: 1. 
12	P: 1. 
596	N: 1. 
Time (s): 14
2	P: 2. 
2	P: 1. N: 1. 
14	P: 1. 
598	N: 1. 
Time (s): 15
2	P: 2. 
16	P: 1. 
600	N: 1. 
Time (s): 16
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 17
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 18
600	N: 1. 
20	P: 1. 
Time (s): 19
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 20
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 21
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 22
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 23
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 24
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 25
600	N: 1. 
20	P: 1. 
Time (s): 26
600	N: 1. 
20	P: 1. 
Time (s): 27
1	P: 2. 
1	P: 1. N: 1. 
17	P: 1. 
599	N: 1. 
Time (s): 28
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 29
600	N: 1. 
20	P: 1. 
Time (s): 30
1	P: 2. 
18	P: 1. 
600	N: 1. 
Time (s): 31
1	P: 2. 
1	P: 1. N: 1. 
17	P: 1. 
599	N: 1. 
Time (s): 32
1	P: 2. 
1	P: 1. N: 1. 
17	P: 1. 
599	N: 1. 
Time (s): 33
1	P: 2. 
18	P: 1. 
600	N: 1. 
Time (s): 34
1	P: 2. 
18	P: 1. 
600	N: 1. 
Time (s): 35
1	P: 2. 
2	P: 1. N: 1. 
16	P: 1. 
598	N: 1. 
Time (s): 36
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 37
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 38
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 39
600	N: 1. 
20	P: 1. 
Time (s): 40
600	N: 1. 
20	P: 1. 
Time (s): 41
1	P: 2. 
18	P: 1. 
600	N: 1. 
Time (s): 42
1	P: 2. N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
598	N: 1. 
Time (s): 43
1	P: 2. 
1	P: 1. N: 1. 
17	P: 1. 
599	N: 1. 
Time (s): 44
1	P: 2. N: 1. 
2	P: 2. 
1	P: 1. N: 1. 
13	P: 1. 
598	N: 1. 
Time (s): 45
2	P: 2. 
14	P: 1. 
1	P: 2. N: 2. 
598	N: 1. 
Time (s): 46
16	P: 1. 
2	P: 2. N: 2. 
596	N: 1. 
Time (s): 47
2	P: 1. N: 1. 
14	P: 1. 
2	P: 2. N: 2. 
594	N: 1. 
Time (s): 48
1	P: 2. 
2	P: 1. N: 1. 
14	P: 1. 
1	P: 2. N: 2. 
596	N: 1. 
Time (s): 49
1	P: 2. 
2	P: 1. N: 1. 
14	P: 1. 
1	P: 2. N: 2. 
596	N: 1. 
