Time (s): 0
240	N: 1. 
2	P: 1. 
Time (s): 10
240	N: 1. 
1	P: 2. 
Time (s): 20
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 30
1	P: 2. 
240	N: 1. 
Time (s): 40
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 50
1	P: 2. 
240	N: 1. 
Time (s): 60
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 70
2	P: 1. 
240	N: 1. 
Time (s): 80
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 90
1	P: 2. 
240	N: 1. 
Time (s): 100
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 110
1	P: 2. 
240	N: 1. 
Time (s): 120
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 130
1	P: 2. 
240	N: 1. 
Time (s): 140
1	P: 2. 
240	N: 1. 
Time (s): 150
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 160
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 170
1	P: 2. 
240	N: 1. 
Time (s): 180
2	P: 1. 
240	N: 1. 
Time (s): 190
1	P: 2. 
240	N: 1. 
Time (s): 200
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 210
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 220
2	P: 1. 
240	N: 1. 
Time (s): 230
1	P: 2. 
240	N: 1. 
Time (s): 240
2	P: 1. 
240	N: 1. 
Time (s): 250
1	P: 2. 
240	N: 1. 
Time (s): 260
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 270
1	P: 2. N: 2. 
238	N: 1. 
Time (s): 280
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 290
1	P: 2. N: 1. 
239	N: 1. 
Time (s): 300
1	P: 2. 
240	N: 1. 
